epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,13125.2,0.7349,0.59235,0.95369,0.77566,0.76485,0.80052,0.56763,0.98828,0.96203,1.13435,0.000470375,0.000470375,0.000470375
65,13365.8,0.72876,0.59397,0.95296,0.78847,0.75088,0.79559,0.5509,1.03056,0.96207,1.16912,0.000458,0.000458,0.000458
66,13606.3,0.73034,0.59119,0.95795,0.81883,0.73145,0.79663,0.56112,1.02396,0.96135,1.16735,0.000445625,0.000445625,0.000445625
67,13847.4,0.71725,0.57725,0.95011,0.77996,0.76455,0.80347,0.57435,1.00759,0.94061,1.14431,0.00043325,0.00043325,0.00043325
68,14089.6,0.70647,0.57159,0.94417,0.80979,0.75812,0.81384,0.57555,1.00215,0.90951,1.15548,0.000420875,0.000420875,0.000420875
69,14329.6,0.71718,0.57715,0.948,0.79473,0.73962,0.81099,0.56345,1.02444,0.9336,1.17189,0.0004085,0.0004085,0.0004085
70,14570.6,0.71774,0.57559,0.94728,0.80596,0.75686,0.81082,0.57481,0.99431,0.93586,1.1484,0.000396125,0.000396125,0.000396125
71,14813.6,0.70922,0.56414,0.94475,0.796,0.75832,0.80634,0.5777,0.98418,0.94015,1.1369,0.00038375,0.00038375,0.00038375
72,15055.3,0.71437,0.56538,0.94271,0.82126,0.76212,0.81685,0.57238,1.01572,0.93058,1.15485,0.000371375,0.000371375,0.000371375
73,15299.8,0.70874,0.5619,0.94083,0.78691,0.77436,0.80282,0.55677,1.01759,0.96195,1.15554,0.000359,0.000359,0.000359
74,15543.3,0.6979,0.55718,0.94255,0.8009,0.76351,0.81612,0.56789,1.02236,0.91993,1.16056,0.000346625,0.000346625,0.000346625
75,15784.6,0.6845,0.55011,0.93772,0.79144,0.76072,0.80978,0.57607,1.00498,0.90125,1.15851,0.00033425,0.00033425,0.00033425
76,16025.6,0.68841,0.54381,0.93326,0.82654,0.74846,0.80697,0.56418,1.02264,0.94116,1.17057,0.000321875,0.000321875,0.000321875
77,16266.6,0.67478,0.53603,0.93284,0.83751,0.7111,0.80456,0.56115,1.01663,0.92448,1.16654,0.0003095,0.0003095,0.0003095
78,16509.6,0.67337,0.53123,0.92809,0.80688,0.76618,0.81374,0.56837,1.01723,0.92316,1.15834,0.000297125,0.000297125,0.000297125
79,16752,0.6797,0.53462,0.92557,0.78799,0.74856,0.79267,0.55106,1.03998,0.94198,1.1901,0.00028475,0.00028475,0.00028475
80,16992.7,0.67733,0.52837,0.92774,0.78523,0.76029,0.8094,0.56904,1.0311,0.95327,1.18253,0.000272375,0.000272375,0.000272375
81,17232.4,0.65345,0.52091,0.92161,0.77983,0.77018,0.81165,0.58675,0.99103,0.9059,1.14529,0.00026,0.00026,0.00026
82,17474.6,0.66438,0.52746,0.92937,0.82271,0.74188,0.80906,0.57908,1.01666,0.90324,1.17005,0.000247625,0.000247625,0.000247625
83,17719.1,0.66274,0.51613,0.92179,0.8388,0.73474,0.81183,0.57725,1.01487,0.92132,1.16708,0.00023525,0.00023525,0.00023525
84,17961.3,0.65915,0.50842,0.92132,0.82895,0.75692,0.82502,0.58238,1.00188,0.90596,1.16011,0.000222875,0.000222875,0.000222875
85,18203.8,0.65836,0.51088,0.92921,0.79645,0.7898,0.82392,0.58651,1.01373,0.92346,1.16986,0.0002105,0.0002105,0.0002105
86,18447.4,0.64829,0.50354,0.91645,0.82956,0.75736,0.81925,0.57764,1.00478,0.89049,1.16414,0.000198125,0.000198125,0.000198125
87,18690.3,0.64147,0.50123,0.91809,0.83528,0.75584,0.82523,0.59368,0.99215,0.88952,1.15704,0.00018575,0.00018575,0.00018575
88,18933.3,0.63512,0.4986,0.91637,0.80598,0.77045,0.82333,0.59316,0.99584,0.90319,1.16193,0.000173375,0.000173375,0.000173375
89,19176.9,0.64512,0.49956,0.91428,0.83066,0.76081,0.83061,0.58403,1.00924,0.90167,1.16602,0.000161,0.000161,0.000161
90,19417.6,0.64338,0.49818,0.9185,0.78995,0.79074,0.81899,0.57897,1.01771,0.89071,1.17286,0.000148625,0.000148625,0.000148625
91,19688.2,0.56984,0.4178,0.87188,0.80059,0.76819,0.80934,0.57408,1.02304,0.90379,1.17968,0.00013625,0.00013625,0.00013625
92,19923.7,0.5529,0.3988,0.86329,0.73192,0.82224,0.81137,0.56757,1.0103,0.89452,1.17207,0.000123875,0.000123875,0.000123875
93,20158.9,0.54304,0.38925,0.86312,0.8077,0.76048,0.81535,0.56844,1.00959,0.88867,1.1726,0.0001115,0.0001115,0.0001115
94,20394.3,0.53201,0.37701,0.85563,0.79484,0.78779,0.82295,0.57816,1.01122,0.88885,1.18038,9.9125e-05,9.9125e-05,9.9125e-05
95,20630.8,0.53417,0.384,0.85667,0.79547,0.76498,0.81871,0.57767,1.01643,0.88955,1.17203,8.675e-05,8.675e-05,8.675e-05
96,20867.6,0.53589,0.37798,0.85702,0.77825,0.77648,0.81347,0.56746,1.01707,0.91721,1.17018,7.4375e-05,7.4375e-05,7.4375e-05
97,21104.5,0.51945,0.36847,0.85155,0.83195,0.74849,0.82353,0.57708,1.00873,0.90256,1.17087,6.2e-05,6.2e-05,6.2e-05
98,21340.7,0.52702,0.37037,0.85056,0.78644,0.78095,0.81795,0.57179,1.00913,0.90426,1.17581,4.9625e-05,4.9625e-05,4.9625e-05
99,21575.5,0.52559,0.37013,0.85651,0.82338,0.75408,0.81519,0.56745,1.01296,0.90805,1.17685,3.725e-05,3.725e-05,3.725e-05
100,21812.1,0.51751,0.36869,0.85212,0.80545,0.77044,0.81821,0.57002,1.00992,0.8934,1.17305,2.4875e-05,2.4875e-05,2.4875e-05
